index,coordinates,type,owner,troops,distance,resources,tribe,alliance,village,population
tile_37_-2,"(37, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_-1,"(37, -1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_0,"(37, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_1,"(37, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_2,"(37, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_3,"(37, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_4,"(37, 4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_5,"(37, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_6,"(37, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_7,"(37, 7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_8,"(37, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_9,"(37, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_10,"(37, 10)",Wilderness,nature,,,,,,,
tile_37_11,"(37, 11)",ahmetfra,ahmetfra4,,26.0,,Egyptians,,,36.0
tile_37_12,"(37, 12)",Unoccupied oasis,nature,,26.0,Lumber,,,,
tile_37_13,"(37, 13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_14,"(37, 14)",Unoccupied oasis,nature,,26.2,Clay,,,,
tile_37_15,"(37, 15)",Occupied oasis,Aivina,,26.3,"Clay,Crop",Gauls,TCC,Alfa,
tile_37_16,"(37, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_17,"(37, 17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_18,"(37, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_19,"(37, 19)",Wilderness,nature,,,,,,,
tile_37_20,"(37, 20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_21,"(37, 21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_22,"(37, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_23,"(37, 23)",Wilderness,nature,,,,,,,
tile_37_24,"(37, 24)",vWsDc,vWsDc5M,,29.1,,Huns,,,38.0
tile_37_25,"(37, 25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_26,"(37, 26)",Wilderness,nature,,,,,,,
tile_37_27,"(37, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_28,"(37, 28)",Unoccupied oasis,nature,,31.1,Lumber,,,,
tile_37_29,"(37, 29)",Ironforge,Jälv,,31.6,,Egyptians,LC,,374.0
tile_37_30,"(37, 30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_31,"(37, 31)",Bozoklar,Delibalta,,32.8,,Teutons,HUNTR,,488.0
tile_37_32,"(37, 32)",Peçenek,Delibalta,,33.4,,Teutons,HUNTR,,476.0
tile_37_33,"(37, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_34,"(37, 34)",BERSEKER,BERSEKER,,34.7,,Romans,HUNTR,,671.0
tile_37_35,"(37, 35)",Occupied oasis,BERSEKER,,35.4,"Lumber,Crop",Romans,HUNTR,BERSEKER 02,
tile_37_36,"(37, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_37,"(37, 37)",Wilderness,nature,,,,,,,
tile_37_38,"(37, 38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_39,"(37, 39)",Unoccupied oasis,nature,,38.2,Iron,,,,
tile_37_40,"(37, 40)",Wilderness,nature,,,,,,,
tile_37_41,"(37, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_42,"(37, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_43,"(37, 43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_44,"(37, 44)",Wilderness,nature,,,,,,,
tile_37_45,"(37, 45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_37_46,"(37, 46)",Unknown,jmecherelul,,43.6,,Teutons,HNTR1,,397.0
tile_37_47,"(37, 47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-52,"(38, -52)",Bf,bluefire,,67.8,,Egyptians,SE,,648.0
tile_38_-51,"(38, -51)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-50,"(38, -50)",Wilderness,nature,,,,,,,
tile_38_-49,"(38, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-48,"(38, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-47,"(38, -47)",Wilderness,nature,,,,,,,
tile_38_-46,"(38, -46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-45,"(38, -45)",Unoccupied oasis,nature,,61.3,"Lumber,Crop",,,,
tile_38_-44,"(38, -44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-43,"(38, -43)",basar,basar84,,59.5,,Huns,,,41.0
tile_38_-42,"(38, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-41,"(38, -41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-40,"(38, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-39,"(38, -39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-38,"(38, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-37,"(38, -37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-36,"(38, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-35,"(38, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-34,"(38, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-33,"(38, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-32,"(38, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-31,"(38, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-30,"(38, -30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-29,"(38, -29)",village,Buster,,47.2,,Gauls,SE,,732.0
tile_38_-28,"(38, -28)",Wilderness,nature,,,,,,,
tile_38_-27,"(38, -27)",Wilderness,nature,,,,,,,
tile_38_-26,"(38, -26)",Wilderness,nature,,,,,,,
tile_38_-25,"(38, -25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-24,"(38, -24)",Wilderness,nature,,,,,,,
tile_38_-23,"(38, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-22,"(38, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-21,"(38, -21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-20,"(38, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-19,"(38, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-18,"(38, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-17,"(38, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-16,"(38, -16)",Candleton,Syrinx,,36.8,,Egyptians,A2,,637.0
tile_38_-15,"(38, -15)",Wilderness,nature,,,,,,,
tile_38_-14,"(38, -14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-13,"(38, -13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-12,"(38, -12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-11,"(38, -11)",Mary Land,Cookie Cool,,33.3,,Romans,HUNTR,,274.0
tile_38_-10,"(38, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-9,"(38, -9)",Wilderness,nature,,,,,,,
tile_38_-8,"(38, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-7,"(38, -7)",Villaggio di Dark,Dark,,30.8,,Gauls,,,24.0
tile_38_-6,"(38, -6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-5,"(38, -5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-4,"(38, -4)",Wilderness,nature,,,,,,,
tile_38_-3,"(38, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_-2,"(38, -2)",S,IBane,,28.2,,Romans,SE,,726.0
tile_38_-1,"(38, -1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_0,"(38, 0)",Wilderness,nature,,,,,,,
tile_38_1,"(38, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_2,"(38, 2)",Natars,Natars,,26.6,,Natars,,,84.0
tile_38_3,"(38, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_4,"(38, 4)",Wilderness,nature,,,,,,,
tile_38_5,"(38, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_6,"(38, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_7,"(38, 7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_8,"(38, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_9,"(38, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_10,"(38, 10)",kaansing,kaansing9,,25.0,,Egyptians,ASDF,,384.0
tile_38_11,"(38, 11)",Unoccupied oasis,nature,,25.0,Lumber,,,,
tile_38_12,"(38, 12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_13,"(38, 13)",Wilderness,nature,,,,,,,
tile_38_14,"(38, 14)",Unoccupied oasis,nature,,25.2,"Clay,Crop",,,,
tile_38_15,"(38, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_16,"(38, 16)",Alfa,Aivina,,25.5,,Gauls,TCC,,716.0
tile_38_17,"(38, 17)",Wilderness,nature,,,,,,,
tile_38_18,"(38, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_19,"(38, 19)",Unoccupied oasis,nature,,26.2,Clay,,,,
tile_38_20,"(38, 20)",Bubble,Bubla,,26.6,,Egyptians,,,299.0
tile_38_21,"(38, 21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_22,"(38, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_23,"(38, 23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_24,"(38, 24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_25,"(38, 25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_26,"(38, 26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_27,"(38, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_28,"(38, 28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_29,"(38, 29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_30,"(38, 30)",Occupied oasis,Delibalta,,31.4,"Iron,Crop",Teutons,HUNTR,Bozoklar,
tile_38_31,"(38, 31)",Wilderness,nature,,,,,,,
tile_38_32,"(38, 32)",Wilderness,nature,,,,,,,
tile_38_33,"(38, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_34,"(38, 34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_35,"(38, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_36,"(38, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_37,"(38, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_38,"(38, 38)",Natars,Natars,,36.8,,Natars,,,25.0
tile_38_39,"(38, 39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_40,"(38, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_41,"(38, 41)",Unknown,sgtkrles,,39.1,,Egyptians,TCC,,678.0
tile_38_42,"(38, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_43,"(38, 43)",Post,Postman,,40.6,,Egyptians,HNTR1,,393.0
tile_38_44,"(38, 44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_45,"(38, 45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_46,"(38, 46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_38_47,"(38, 47)",Aldea de OsitoxicO,OsitoxicO,,43.8,,Teutons,,,22.0
tile_39_-52,"(39, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-51,"(39, -51)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-50,"(39, -50)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-49,"(39, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-48,"(39, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-47,"(39, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-46,"(39, -46)",Unknown,Sarukin,,61.8,,Huns,SE,,646.0
tile_39_-45,"(39, -45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-44,"(39, -44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-43,"(39, -43)",Unknown,Syrlith,,59.1,,Huns,JFF,,316.0
tile_39_-42,"(39, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-41,"(39, -41)",Wilderness,nature,,,,,,,
tile_39_-40,"(39, -40)",Wilderness,nature,,,,,,,
tile_39_-39,"(39, -39)",Wilderness,nature,,,,,,,
tile_39_-38,"(39, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-37,"(39, -37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-36,"(39, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-35,"(39, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-34,"(39, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-33,"(39, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-32,"(39, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-31,"(39, -31)",Wilderness,nature,,,,,,,
tile_39_-30,"(39, -30)",Wilderness,nature,,,,,,,
tile_39_-29,"(39, -29)",Wilderness,nature,,,,,,,
tile_39_-28,"(39, -28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-27,"(39, -27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-26,"(39, -26)",Wilderness,nature,,,,,,,
tile_39_-25,"(39, -25)",Unknown,Galacticos,,43.3,,Egyptians,,,360.0
tile_39_-24,"(39, -24)",Wilderness,nature,,,,,,,
tile_39_-23,"(39, -23)",Wilderness,nature,,,,,,,
tile_39_-22,"(39, -22)",Occupied oasis,picknick,,40.8,"Iron,Crop",Huns,SE,Natars 40|-24,
tile_39_-21,"(39, -21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-20,"(39, -20)",Vesnice: Magor,Magor,,39.2,,Teutons,,,15.0
tile_39_-19,"(39, -19)",Wilderness,nature,,,,,,,
tile_39_-18,"(39, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-17,"(39, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-16,"(39, -16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-15,"(39, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-14,"(39, -14)",Žumpa,Hovnival,,34.7,,Egyptians,BRIX,,671.0
tile_39_-13,"(39, -13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-12,"(39, -12)",Unoccupied oasis,nature,,33.2,Clay,,,,
tile_39_-11,"(39, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-10,"(39, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-9,"(39, -9)",Unknown,matrix73,,31.2,,Gauls,SE,,596.0
tile_39_-8,"(39, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-7,"(39, -7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-6,"(39, -6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-5,"(39, -5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-4,"(39, -4)",Unoccupied oasis,nature,,28.3,Iron,,,,
tile_39_-3,"(39, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-2,"(39, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_-1,"(39, -1)",Wilderness,nature,,,,,,,
tile_39_0,"(39, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_1,"(39, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_2,"(39, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_3,"(39, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_4,"(39, 4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_5,"(39, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_6,"(39, 6)",Wilderness,nature,,,,,,,
tile_39_7,"(39, 7)",Wilderness,nature,,,,,,,
tile_39_8,"(39, 8)",village,Downey,,24.2,,Egyptians,TCC,,605.0
tile_39_9,"(39, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_10,"(39, 10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_11,"(39, 11)",Villaggio di Kalisca,Kalisca,,24.0,,Huns,,,41.0
tile_39_12,"(39, 12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_13,"(39, 13)",Wilderness,nature,,,,,,,
tile_39_14,"(39, 14)",Natars,Natars,,24.2,,Natars,,,164.0
tile_39_15,"(39, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_16,"(39, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_17,"(39, 17)",Unoccupied oasis,nature,,24.7,Lumber,,,,
tile_39_18,"(39, 18)",Unoccupied oasis,nature,,25.0,Clay,,,,
tile_39_19,"(39, 19)",Wilderness,nature,,,,,,,
tile_39_20,"(39, 20)",Wilderness,nature,,,,,,,
tile_39_21,"(39, 21)",Aldea de TheLeader,TheLeader,,26.0,,Romans,,,12.0
tile_39_22,"(39, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_23,"(39, 23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_24,"(39, 24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_25,"(39, 25)",Wilderness,nature,,,,,,,
tile_39_26,"(39, 26)",Pardus,Pardus,,28.3,,Teutons,pards,,397.0
tile_39_27,"(39, 27)",Wilderness,nature,,,,,,,
tile_39_28,"(39, 28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_29,"(39, 29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_30,"(39, 30)",Wilderness,nature,,,,,,,
tile_39_31,"(39, 31)",Unoccupied oasis,nature,,31.2,Lumber,,,,
tile_39_32,"(39, 32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_33,"(39, 33)",Natars,Natars,,32.6,,Natars,,,261.0
tile_39_34,"(39, 34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_35,"(39, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_36,"(39, 36)",Wilderness,nature,,,,,,,
tile_39_37,"(39, 37)",Wilderness,nature,,,,,,,
tile_39_38,"(39, 38)",Wilderness,nature,,,,,,,
tile_39_39,"(39, 39)",village,pino,,36.9,,Egyptians,,,436.0
tile_39_40,"(39, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_41,"(39, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_42,"(39, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_43,"(39, 43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_44,"(39, 44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_45,"(39, 45)",Wilderness,nature,,,,,,,
tile_39_46,"(39, 46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_39_47,"(39, 47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-52,"(40, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-51,"(40, -51)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-50,"(40, -50)",Beruang,jati123,,65.2,,Romans,A2,,158.0
tile_40_-49,"(40, -49)",Natars,Natars,,64.3,,Natars,,,151.0
tile_40_-48,"(40, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-47,"(40, -47)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 7}, {'unit': 'Spider', 'count': 4}, {'unit': 'Wild Boar', 'count': 2}]",62.4,"Clay,Crop",,,,
tile_40_-46,"(40, -46)",Wilderness,nature,,,,,,,
tile_40_-45,"(40, -45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-44,"(40, -44)",Villaggio di Deserto,Deserto,,59.6,,Egyptians,,,12.0
tile_40_-43,"(40, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-42,"(40, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-41,"(40, -41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-40,"(40, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-39,"(40, -39)",Natars,Natars,,55.0,,Natars,,,84.0
tile_40_-38,"(40, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-37,"(40, -37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-36,"(40, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-35,"(40, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-34,"(40, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-33,"(40, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-32,"(40, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-31,"(40, -31)",Occupied oasis,texas1,,47.9,"Iron,Crop",Egyptians,SE,Amon Aeluin,
tile_40_-30,"(40, -30)",Occupied oasis,Buster,,47.0,"Iron,Crop",Gauls,SE,Buster`s village,
tile_40_-29,"(40, -29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-28,"(40, -28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-27,"(40, -27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-26,"(40, -26)",Wilderness,nature,,,,,,,
tile_40_-25,"(40, -25)",Wilderness,nature,,,,,,,
tile_40_-24,"(40, -24)",Natars,picknick,,41.9,,Huns,SE,,646.0
tile_40_-23,"(40, -23)",Wilderness,nature,,,,,,,
tile_40_-22,"(40, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-21,"(40, -21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-20,"(40, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-19,"(40, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-18,"(40, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-17,"(40, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-16,"(40, -16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-15,"(40, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-14,"(40, -14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-13,"(40, -13)",Wilderness,nature,,,,,,,
tile_40_-12,"(40, -12)",Big Town,Cookie Cool,,32.5,,Romans,HUNTR,,548.0
tile_40_-11,"(40, -11)",Wilderness,nature,,,,,,,
tile_40_-10,"(40, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-9,"(40, -9)",Unoccupied oasis,nature,,30.5,Clay,,,,
tile_40_-8,"(40, -8)",Wilderness,nature,,,,,,,
tile_40_-7,"(40, -7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-6,"(40, -6)",Natars,Natars,,28.6,,Natars,,,87.0
tile_40_-5,"(40, -5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_40_-4,"(40, -4)",Occupied oasis,LoSeL,,27.5,"Lumber,Crop",Gauls,LC,01.Edwyn,
tile_40_-3,"(40, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
